,2018rank,city,state,2018estimate,2010census,change(%),2016 land area(sq mi),2016 land area(sq km),2016 population density (/sq mi),2016 population density (/sq km),location,wiki_city_url,Annual high temperature(F),Annual low temperature(F),Average temperature(F),Average annual precipitation - rainfall(in)
17,18,Seattle,Washington,744955,608660,22.39,83.8,217.0,8405.0,3245.0,47°37′14″N 122°21′03″W﻿ / ﻿47.6205°N 122.3509°W,https://en.wikipedia.org/wiki/Seattle,58.8,45.1,51.95,34.1
18,19,Denver,Colorado,716492,600158,19.38,153.3,397.0,4521.0,1746.0,39°45′43″N 104°52′52″W﻿ / ﻿39.7619°N 104.8811°W,https://en.wikipedia.org/wiki/Denver,64.0,36.3,50.15,15.54
19,20,"Washington, D.C.",District of Columbia,702455,601723,16.74,61.1,158.2,11148.0,4304.0,38°54′15″N 77°01′02″W﻿ / ﻿38.9041°N 77.0172°W,"https://en.wikipedia.org/wiki/Washington,_D.C.",-,-,-,-
20,21,Boston,Massachusetts,694583,617594,12.47,48.3,125.1,13938.0,5381.0,42°19′55″N 71°01′13″W﻿ / ﻿42.3320°N 71.0202°W,https://en.wikipedia.org/wiki/Boston,58.7,44.1,51.4,43.56
21,22,El Paso,Texas,682669,649121,5.17,256.8,665.1,2660.0,1030.0,31°50′54″N 106°25′37″W﻿ / ﻿31.8484°N 106.4270°W,https://en.wikipedia.org/wiki/El_Paso,77.5,51.8,64.65,9.69
22,23,Detroit,Michigan,672662,713777,-5.76,138.8,359.5,4847.0,1871.0,42°22′59″N 83°06′08″W﻿ / ﻿42.3830°N 83.1022°W,https://en.wikipedia.org/wiki/Detroit,56.7,40.7,48.7,30.97
23,24,Nashville,Tennessee,669053,601222,11.28,475.9,1232.6,1388.0,536.0,36°10′18″N 86°47′06″W﻿ / ﻿36.1718°N 86.7850°W,https://en.wikipedia.org/wiki/Nashville,69.7,48.8,59.25,47.24
24,25,Portland,Oregon,653115,583776,11.88,133.5,345.8,4793.0,1851.0,45°32′13″N 122°39′00″W﻿ / ﻿45.5370°N 122.6500°W,https://en.wikipedia.org/wiki/Portland,63.3,45.7,54.5,35.98
25,26,Memphis,Tennessee,650618,646889,0.58,317.4,822.1,2056.0,794.0,35°06′10″N 89°58′39″W﻿ / ﻿35.1028°N 89.9774°W,https://en.wikipedia.org/wiki/Memphis,72.4,53.6,63.0,53.67
26,27,Oklahoma City,Oklahoma,649021,579999,11.9,606.3,1570.3,1053.0,407.0,35°28′02″N 97°30′49″W﻿ / ﻿35.4671°N 97.5137°W,https://en.wikipedia.org/wiki/Oklahoma_City,72.2,50.8,61.5,36.46
